,experiment_id,start_times,end_times,parameter_values
480,experiment_1065,157.301403761,157.401403761,8
481,experiment_1065,158.597736597,158.697736597,4
482,experiment_1065,159.891110182,159.991110182,10
483,experiment_1065,161.198102713,161.298102713,13
484,experiment_1065,162.49099493,162.59099493,17
485,experiment_1065,163.786426544,163.886426544,9
486,experiment_1065,165.080107212,165.180107212,17
487,experiment_1065,166.37082839,166.47082839,14
488,experiment_1065,167.679561853,167.779561853,9
489,experiment_1065,168.987988234,169.087988234,3
490,experiment_1065,170.282139778,170.382139778,16
491,experiment_1065,171.576588392,171.676588392,6
492,experiment_1065,172.872491121,172.972491121,4
493,experiment_1065,174.164123774,174.264123774,12
494,experiment_1065,175.456729174,175.556729174,20
495,experiment_1065,176.749314308,176.849314308,18
496,experiment_1065,178.047776937,178.147776937,5
497,experiment_1065,179.341109514,179.441109514,15
498,experiment_1065,180.633458853,180.733458853,7
499,experiment_1065,181.925429344,182.025429344,11
500,experiment_1065,183.217696905,183.317696905,10
501,experiment_1065,184.508868694,184.608868694,8
502,experiment_1065,185.817080021,185.917080021,19
503,experiment_1065,187.125823736,187.225823736,13
504,experiment_1065,188.43524313,188.53524313,8
505,experiment_1065,189.758333206,189.858333206,6
506,experiment_1065,191.063431263,191.163431263,4
507,experiment_1065,192.37977314,192.47977314,20
508,experiment_1065,193.689735413,193.789735413,18
509,experiment_1065,194.996584654,195.096584654,15
510,experiment_1065,196.293675184,196.393675184,14
511,experiment_1065,197.603145838,197.703145838,16
512,experiment_1065,198.906872034,199.006872034,7
513,experiment_1065,200.20043993,200.30043993,19
514,experiment_1065,201.493516445,201.593516445,13
515,experiment_1065,202.785179853,202.885179853,5
516,experiment_1065,204.076310635,204.176310635,9
517,experiment_1065,205.370155096,205.470155096,11
518,experiment_1065,206.668976307,206.768976307,12
519,experiment_1065,207.972968578,208.072968578,3
520,experiment_1065,209.266536713,209.366536713,10
521,experiment_1065,210.559428692,210.659428692,17
522,experiment_1065,211.851501703,211.951501703,12
523,experiment_1065,213.14453721,213.24453721,4
524,experiment_1065,214.438699245,214.538699245,13
525,experiment_1065,215.726072073,215.826072073,16
526,experiment_1065,217.021350145,217.121350145,14
527,experiment_1065,218.31446743,218.41446743,17
528,experiment_1065,219.606868267,219.706868267,15
529,experiment_1065,220.897507429,220.997507429,18
530,experiment_1065,222.185300112,222.285300112,20
531,experiment_1065,223.478878498,223.578878498,5
532,experiment_1065,224.769405127,224.869405127,3
533,experiment_1065,226.063188076,226.163188076,9
534,experiment_1065,227.354114294,227.454114294,11
535,experiment_1065,228.64778471,228.74778471,6
536,experiment_1065,229.938833475,230.038833475,7
537,experiment_1065,231.239067793,231.339067793,10
538,experiment_1065,232.534683943,232.634683943,8
539,experiment_1065,233.821319342,233.921319342,19
